run_id,model,target,split,precision,recall,f1,roc_auc,pr_auc,predicted_positive_rate,recall_at_10pct,precision_at_10pct,threshold
20260309T000850Z,lightgbm,fall_next_30d,val,0.8184615384615385,0.99774943735934,0.8992562542258282,0.9997805960405506,0.998638713810523,0.099993846532521,0.99774943735934,0.8184615384615385,0.0763866778547737
20260309T000850Z,lightgbm,fall_next_30d,test,0.3673740053050398,0.2849794238683127,0.320973348783314,0.6728291704691847,0.2511201322735221,0.0577070258686667,0.2890946502057613,0.2151607963246554,0.0763866778547737
20260309T001646Z,lightgbm,fall_next_30d,val,0.3392747387830362,0.4141035258814703,0.372972972972973,0.7934460823947106,0.3142805953881928,0.1001169158820995,0.4141035258814703,0.3396923076923077,0.1895595701462374
20260309T001646Z,lightgbm,fall_next_30d,test,0.3024502297090352,0.4063786008230453,0.3467954345917471,0.7828593711400613,0.280526685413601,0.0999540792897596,0.4063786008230453,0.3024502297090352,0.1895595701462374
20260309T002507Z,lightgbm,rth_next_30d,val,0.1144615384615384,0.3819301848049281,0.1761363636363636,0.7728647837950634,0.1806669177810248,0.099993846532521,0.3819301848049281,0.1144615384615384,0.0804811384886497
20260309T002507Z,lightgbm,rth_next_30d,test,0.0971690895179801,0.3681159420289855,0.1537530266343825,0.7708394996747361,0.1628766027165828,0.1000306138068268,0.3681159420289855,0.0972434915773353,0.0804811384886497
20260309T003034Z,lightgbm,rth_next_30d,val,0.1144615384615384,0.3819301848049281,0.1761363636363636,0.7728647837950634,0.1806669177810248,0.099993846532521,0.3819301848049281,0.1144615384615384,0.0804811384886497
20260309T003034Z,lightgbm,rth_next_30d,test,0.0971690895179801,0.3681159420289855,0.1537530266343825,0.7708394996747361,0.1628766027165828,0.1000306138068268,0.3681159420289855,0.0972434915773353,0.0804811384886497
20260309T004240Z,rule,fall_next_30d,val,0.28088304368248,0.4486121530382596,0.3454650491045638,0.6729922274777034,0.171235532948431,0.1310073226262999,,,
20260309T004240Z,rule,fall_next_30d,test,0.2643348623853211,0.4742798353909465,0.3394698085419735,0.6840970865395282,0.1644778332415364,0.1334761977651921,,,
